,ID,Description,GeneRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0004715,GO:0004715,non-membrane spanning protein tyrosine kinase activity,8/744,0.000594176,0.017274328,0.015071233,FGR/MATK/BTK/STYK1/PTK6/HCK/ZAP70/SLA,8
GO:0004950,GO:0004950,chemokine receptor activity,6/744,0.0006053,0.017274328,0.015071233,CCR2/CCR5/CCR1/CX3CR1/CXCR6/GPR35,6
GO:0033691,GO:0033691,sialic acid binding,4/744,0.00117054,0.030110949,0.026270725,CD22/CD33/MAG/SIGLEC11,4
GO:0038024,GO:0038024,cargo receptor activity,10/744,0.001261183,0.030187037,0.026337108,CD5L/CD36/STAB2/TINAG/TMPRSS4/TMPRSS3/ITGB2/PRSS12/TMPRSS2/DMBT1,10
GO:0043325,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding",6/744,0.001352871,0.031369704,0.027368943,PLEK2/PLEK/MYO1G/NCF1/NCF1C/NCF1B,6
GO:0019956,GO:0019956,chemokine binding,6/744,0.001922429,0.038552491,0.033635667,ITGA4/CCR2/CCR5/CCR1/CX3CR1/CXCR6,6
GO:0045028,GO:0045028,G protein-coupled purinergic nucleotide receptor activity,4/744,0.0022132,0.043215638,0.037704096,GPR87/P2RY12/GPR34/P2RY13,4
GO:0016493,GO:0016493,C-C chemokine receptor activity,5/744,0.002319194,0.044124158,0.038496747,CCR2/CCR5/CCR1/CX3CR1/CXCR6,5
GO:0019957,GO:0019957,C-C chemokine binding,5/744,0.002829457,0.048122373,0.041985047,CCR2/CCR5/CCR1/CX3CR1/CXCR6,5
GO:0019955,GO:0019955,cytokine binding,13/744,0.00286673,0.048122373,0.041985047,IL20RA/EBI3/IL10RA/ITGA4/CSF3R/CCR2/CD36/IL22RA1/CCR5/CCR1/CX3CR1/CXCR6/CSF1R,13
GO:0005243,GO:0005243,gap junction channel activity,4/744,0.002918473,0.048122373,0.041985047,GJB1/GJB3/GJB4/GJC2,4
GO:0008381,GO:0008381,mechanosensitive ion channel activity,4/744,0.002918473,0.048122373,0.041985047,TMC5/TMC4/TMC8/TMC7,4
GO:0016209,GO:0016209,antioxidant activity,10/744,0.003215774,0.049863737,0.043504325,MGST1/IYD/GSTO2/PTGS2/TPO/APOE/GPX2/NQO1/HBA2/HBA1,10
GO:0046906,GO:0046906,tetrapyrrole binding,14/744,0.003216842,0.049863737,0.043504325,PTGS2/HMOX1/FA2H/CYP3A5/CYP2C18/TPO/TCN1/CYP2C9/CYP3A4/CYBB/CYP4F12/CYP4F3/HBA2/HBA1,14
GO:0031406,GO:0031406,carboxylic acid binding,17/744,0.003283086,0.049863737,0.043504325,CD22/HNF4A/CEMIP/CD33/MAG/PCK1/GAD1/APOC1/DDC/STAB2/CRABP2/HAPLN1/ALAS2/SIGLEC11/UGT1A1/UGT1A8/GRIN2B,17
GO:1901981,GO:1901981,phosphatidylinositol phosphate binding,15/744,0.003292888,0.049863737,0.043504325,SCIN/BTK/NCF4/PLEK2/RUBCNL/PLEK/ARHGAP9/SDCBP2/MYO1G/FGD2/NCF1/NCF1C/SNX20/GRAMD2A/NCF1B,15
