,ID,Description,GeneRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0044706,GO:0044706,multi-multicellular organism process,61/812,0.000131929,0.001365675,0.000941019,CD38/TAC1/ABCC2/PRDM1/EPN1/PGR/AKR1B1/MMP2/ESR1/ANGPT2/MMP9/MAPK3/P2RX1/STC2/IGFBP2/SLC2A1/CNR1/PRLHR/GHSR/PTGFR/RECK/TEKT3/IL1B/FOSB/EPO/HAVCR2/ACVR1B/ADCYAP1/CORIN/CRHBP/CRH/PRDM14/CAPN2/UCN/HPGD/GJB2/AVPR1A/PNOC/PTAFR/FOS/BCL2/BSG/STOX2/LEP/SH3PXD2B/PLA2G6/HSF1/RXRA/HYAL3/HMX3/BMPR2/EMP2/ITGA3/PTGS2/KLF1/LIF/IHH/TCF23/FOSL1/CLDN4/PSG5,61
GO:1903531,GO:1903531,negative regulation of secretion by cell,59/812,0.000115328,0.0012222,0.000842158,TNFRSF1A/MAP4K4/SREBF1/OPRK1/RAB11FIP3/CHGA/HRH3/FOXF1/SFRP1/OPRM1/GNAI2/IL1R2/CNR1/GHSR/IL1B/PTPN22/MTNR1B/SNCA/CRHBP/CRH/NOTCH1/DRD2/FRMD4A/ANGPT1/KCNB1/ABR/UCN/NPY5R/CARTPT/MIDN/IRS1/TRH/CD34/TLR6/LEP/CIDEA/SSC5D/IDH2/GRM7/NF1/NMB/TRIM27/SRCIN1/CD22/CD84/FCGR2B/CEACAM1/HMOX1/TLR8/LILRB1/CCR2/LIF/APOE/NLRP12/F2RL1/CD300A/P2RY12/FAM3D/TNF,59
GO:0007586,GO:0007586,digestion,52/812,1.69E-08,5.70E-07,3.93E-07,TAC1/PTGER3/KCNQ1/FGF10/OPRK1/PGC/NPR3/HRH2/SGK1/TJP2/GHSR/SOX9/WNK4/LDLR/CAPN9/MUC4/CRH/SST/F11R/NEUROD1/UCN/MOGAT2/CTRB1/CTRB2/CEL/LEP/SLC9A4/NEUROG1/MUC6/CCK/STK39/CAPN8/PNLIPRP2/PRSS3/NPC1L1/SNX10/VSIG1/KCNN4/NMU/PLS1/CHIT1/CD36/GCNT3/ABCG8/TFF3/TFF2/TFF1/AQP5/ALPI/MUC13/TIFAB/PGA5,52
GO:0055123,GO:0055123,digestive system development,65/812,2.54E-14,3.60E-12,2.48E-12,ALX4/PRDM1/CLDN18/FGFR2/FGF10/TP63/GLI2/ITGA6/PTK6/KLF5/FGF9/FOXF1/SALL1/SFRP1/HOXA5/COBL/RARRES2/AGR2/GLI3/NKX3-2/HRH2/TCF21/NKX2-3/TBX2/NPY/CDKN1A/BMP4/NKX2-2/HOXD13/ALDH1A2/GATA5/PYY/BARX1/ITGB4/PDGFRA/EDNRB/FOXF2/STRA6/ASCL1/CCDC40/SFRP2/PDGFC/EGFR/NOTCH1/PKDCC/SHH/SOX17/RET/RBPMS2/SMAD3/PTF1A/SHOX2/BCL2/DAB1/SOX11/FOXE1/NKX2-6/FAT4/SPDEF/OVOL2/PDX1/IHH/FOXL1/EPHB3/TNF,65
GO:1902414,GO:1902414,protein localization to cell junction,32/812,7.96E-05,0.000890735,0.000613762,STX1B/CACNG7/DVL1/NRXN2/KIF17/GHSR/TERF2/SNAP25/ADAM10/MAPK8IP3/CACNG8/MPP7/DLG2/GRIP1/GRIN2C/SHANK1/GRASP/NETO1/KIF5C/CPLX1/CLSTN1/HRAS/CNIH2/BAIAP2/GRIN1/NRXN1/GPC6/ANKS1B/MAPT/SHISA6/CACNG3/MARVELD3,32
GO:0022617,GO:0022617,extracellular matrix disassembly,28/812,0.000161311,0.001593202,0.001097797,CD44/TLL1/FSCN1/FAP/MMP2/TLL2/MMP9/LRP1/ADAM10/ADAM8/ADAMTS5/MMP16/PDPN/CAPN2/HTRA1/KLK4/CTRB1/CTRB2/BSG/SH3PXD2B/TMPRSS6/ELANE/LCP1/MMP3/KLK7/TPSAB1/MMP1/MMP12,28
GO:0030199,GO:0030199,collagen fibril organization,22/812,4.94E-05,0.000604511,0.000416538,COL11A1/COL5A3/ADAMTS2/COMP/AEBP1/COL1A1/PXDN/COL5A1/CYP1B1/ADAMTS14/COL2A1/SFRP2/PLOD2/ADAMTS3/ACAN/GREM1/TNXB/FOXC2/ANXA2/COL14A1/NF1/COL11A2,22
GO:0044058,GO:0044058,regulation of digestive system process,18/812,4.95E-05,0.000604511,0.000416538,TAC1/PTGER3/KCNQ1/FGF10/OPRK1/SGK1/GHSR/WNK4/CRH/NEUROD1/UCN/LEP/NEUROG1/STK39/NMU/ABCG8/TFF2/TIFAB,18
GO:0007409,GO:0007409,axonogenesis,195/812,1.70E-35,1.06E-31,7.30E-32,PLXND1/PAX6/CELSR3/LYPLA2/ISL1/NRXN3/TRIO/EPHA3/FSTL4/CYFIP2/GPC1/CTNNA2/FGFR2/SPTB/EPHA8/CRMP1/GLI2/SEMA3C/PAX2/PLXNA2/MAP2/EPHA6/HSP90AA1/MT3/POU4F3/NRCAM/DPYSL2/EFNA2/NEFH/LAMA1/MAPK3/PTPRS/DLX5/HOXA2/GRB10/COBL/GLI3/LHX2/LHX3/DVL1/GATA3/FGF8/PHOX2B/GAB1/UST/NR2E1/UNC5A/PLXNA1/ITGA4/SPTBN1/EPHA4/TNR/NRP2/LHX4/SLITRK3/EGR2/LRP1/EFNB2/GFRA4/BCL11B/MACF1/FEZF1/PALLD/MAP1B/LLGL1/ZSWIM4/ATP8A2/DCLK1/CHL1/NGF/PLXNC1/RAC1/NKX2-8/NKX2-1/TBR1/SKIL/SPTBN5/NTRK3/EPHA2/BARHL2/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/DOK2/NOTCH1/VAX1/PAK1/NCAM1/DRD2/FEZ1/ITGB1/ANK3/POU4F2/GFRA1/POU4F1/FEZF2/THY1/ROBO3/PRKCA/UCHL1/WNT3A/CHODL/EPHB1/TIAM1/UNC5D/DPYSL5/AUTS2/B4GALT5/ISL2/SPTBN4/NEXN/NTNG1/LMX1A/NFASC/NKX6-1/APBB2/RYK/SHH/ADCY1/SLITRK5/OTX2/RET/ISLR2/KIF5C/GBX2/GFRA2/GDNF/SHOX2/ZEB2/ROBO1/CDH2/NRTN/DSCAM/PIK3CD/BCL2/FOXB1/BSG/DAB1/PTPRM/BRSK2/BAIAP2/BDNF/GRIN1/DSCAML1/ULK1/GRB2/SLITRK1/CDH4/NRXN1/UNC5C/EXT1/CSF1R/TSKU/EPHA10/SLIT3/EFNA5/SEMA4B/FLRT2/PTCH1/MAPT/CCK/SLIT1/DCC/SEMA4D/AGRN/COL25A1/SEMA4A/EPHB4/SRC/SIPA1L1/KIF13B/S100A6/NTRK1/BMPR2/DOK6/PLXNA4/LHX1/CYFIP1/NEFL/XK/PLA2G10/SEMA4G/MAG/APOE/VSTM2L/GRB7/CRABP2/EFNA3/PTPRO/EFNA1/EPHB3/SLITRK6/KEL,195
GO:0003002,GO:0003002,regionalization,157/812,5.25E-33,1.51E-29,1.04E-29,CYP26B1/PAX6/PAX7/ISL1/ALX4/DMRT3/FGFR2/FGF10/TP63/GLI2/SEMA3C/CELSR1/PAX2/PLXNA2/FGFR1/HOXA9/KDM2B/DLL3/FOXF1/SFRP1/HOXA2/HOXA3/LFNG/HOXA5/HOXA6/EVX1/COBL/MEOX2/GLI3/LHX2/LHX3/FGF8/SUFU/DBX1/ZBTB16/MYF6/RFX4/MDFI/TBX18/FGF1/CDX1/NRP2/HOXB8/HOXB3/HOXB1/HOXA7/EGR2/HOXC13/SNAI1/BMP4/PAX8/PAX1/NKX2-2/TCF15/FEZF1/HOXD3/HOXD9/HOXD10/HOXD11/HOXD13/ALDH1A2/GATA5/BARX1/BHLHE40/TBX3/EMX1/PCDH8/NKX2-1/TBR1/LMX1B/SMAD6/SIX3/ASCL1/PCSK6/DMRTA2/OSR1/DLX1/SFRP2/CRB2/NOTCH1/TBX6/FEZF2/WNT3A/ETS2/SKI/LRP5/NEUROD1/EN1/MSX1/EOMES/NKX6-1/HEYL/SPRY1/PITX2/TBX20/SP8/SHH/SOX17/OTX2/GREM1/SMAD3/GBX2/GDNF/AXIN2/ZEB2/ROBO1/ITGAM/HOXD4/EMX2/IRX1/IRX2/HOXB9/FOXB1/DMRT2/HES3/HOXD8/FOXC2/BASP1/DSCAML1/IRX3/CTNNBIP1/ALX1/HOXC9/HOXC10/NEUROG1/HOXB4/SOX1/NKX2-5/TBX1/WT1/PBX1/PTCH1/HOXA4/HOXC4/ARC/DLL1/RIPPLY2/MAFB/TRAF3IP1/BMPR2/NOTO/HOXA10/LHX1/HOXA11/OTX1/MSX2/HOXC11/FOXA2/OVOL2/FOXA1/FOXJ1/FOXH1/C1QA/WNT7B/HOXC6/NTF4/TIFAB,157
GO:0007389,GO:0007389,pattern specification process,184/812,7.27E-33,1.51E-29,1.04E-29,CYP26B1/PAX6/PAX7/ISL1/ALX4/DMRT3/FGFR2/FGF10/TP63/GLI2/SEMA3C/CELSR1/PAX2/PLXNA2/FGFR1/HOXA9/KDM2B/TBX5/DLL3/NDRG4/FOXF1/SFRP1/HOXA2/HOXA3/LFNG/HOXA5/HOXA6/EVX1/COBL/MEOX2/GLI3/LHX2/LHX3/FGF8/SUFU/NKX3-2/DBX1/ZBTB16/MYF6/RFX4/MDFI/TBX18/HAND1/IRX4/FGF1/CDX1/APC2/WNT6/NRP2/HOXB8/HOXB3/HOXB1/TBX2/HOXA7/EGR2/HOXC13/SNAI1/BMP4/PAX8/PAX1/NKX2-2/TCF15/FEZF1/HOXD3/HOXD9/HOXD10/HOXD11/HOXD13/ALDH1A2/GATA5/BARX1/MICAL2/BHLHE40/RAX/TBX3/ACVR1B/EMX1/PCDH8/NKX2-1/TBR1/LMX1B/SMAD6/SIX3/LBX1/SHROOM3/ASCL1/PCSK6/CCDC40/DMRTA2/OSR1/DLX1/SFRP2/CRB2/NOTCH1/TBX6/ZIC1/FEZF2/WNT3A/ALX3/ETS2/SKI/GRHL3/SIM2/LRP5/NEUROD1/EN1/MSX1/EOMES/NKX6-1/HEYL/SPRY1/PITX2/HAND2/TBX20/SP8/SHH/SOX17/UNCX/OTX2/GREM1/SMAD3/GBX2/GDNF/AXIN2/ZEB2/ROBO1/ITGAM/HOXD4/HOXD12/EMX2/IRX1/IRX2/HOXB9/FOXB1/DMRT2/HES3/HOXD8/FOXC2/BASP1/DSCAML1/IRX3/CTNNBIP1/DAND5/ALX1/HOXC9/HOXC10/NEUROG1/HOXB4/SOX1/NKX2-5/TBX1/WT1/PBX1/NRG3/PTCH1/HOXA4/HOXC4/ARC/DLL1/RIPPLY2/SOX18/MAFB/TRAF3IP1/BMPR2/NOTO/HOXA10/LHX1/HOXA11/OTX1/MSX2/HOXC11/FOXA2/OVOL2/FOXA1/FOXJ1/AMHR2/FOXH1/IHH/C1QA/RIPPLY3/WNT7B/HOXC6/NTF4/TIFAB,184
GO:0097485,GO:0097485,neuron projection guidance,131/812,1.11E-30,1.73E-27,1.19E-27,PLXND1/PAX6/CELSR3/LYPLA2/ISL1/NRXN3/TRIO/EPHA3/CYFIP2/GPC1/SPTB/EPHA8/CRMP1/GLI2/SEMA3C/PLXNA2/EPHA6/POU4F3/NRCAM/DPYSL2/EFNA2/LAMA1/MAPK3/DLX5/HOXA2/GRB10/GLI3/LHX2/LHX3/DVL1/GATA3/FGF8/GAB1/UNC5A/PLXNA1/SPTBN1/EPHA4/TNR/NRP2/LHX4/EGR2/LRP1/EFNB2/GFRA4/BCL11B/FEZF1/PALLD/ZSWIM4/CHL1/PLXNC1/RAC1/NKX2-1/TBR1/SPTBN5/EPHA2/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/DOK2/VAX1/NCAM1/FEZ1/POU4F2/DPYSL4/GFRA1/FEZF2/ROBO3/PRKCA/WNT3A/EPHB1/UNC5D/DPYSL5/ISL2/SPTBN4/NEXN/NTNG1/LMX1A/NFASC/APBB2/RYK/SHH/OTX2/RET/KIF5C/GBX2/GFRA2/GDNF/ROBO1/NRTN/DSCAM/PIK3CD/BSG/DAB1/PTPRM/BDNF/DSCAML1/GRB2/CDH4/NRXN1/UNC5C/EXT1/CSF1R/EPHA10/SLIT3/EFNA5/SEMA4B/FLRT2/PTCH1/SLIT1/DCC/SEMA4D/AGRN/SEMA4A/EPHB4/SRC/NTRK1/BMPR2/DOK6/PLXNA4/LHX1/CYFIP1/PLA2G10/SEMA4G/VSTM2L/GRB7/EFNA3/PTPRO/EFNA1/EPHB3,131
GO:0007411,GO:0007411,axon guidance,130/812,3.08E-30,3.84E-27,2.65E-27,PLXND1/PAX6/CELSR3/LYPLA2/ISL1/NRXN3/TRIO/EPHA3/CYFIP2/GPC1/SPTB/EPHA8/CRMP1/GLI2/SEMA3C/PLXNA2/EPHA6/POU4F3/NRCAM/DPYSL2/EFNA2/LAMA1/MAPK3/DLX5/HOXA2/GRB10/GLI3/LHX2/LHX3/DVL1/GATA3/FGF8/GAB1/UNC5A/PLXNA1/SPTBN1/EPHA4/TNR/NRP2/LHX4/EGR2/LRP1/EFNB2/GFRA4/BCL11B/FEZF1/PALLD/ZSWIM4/CHL1/PLXNC1/RAC1/NKX2-1/TBR1/SPTBN5/EPHA2/GDF7/CNTN4/LRTM1/SLIT2/EPHA5/DOK2/VAX1/NCAM1/FEZ1/POU4F2/GFRA1/FEZF2/ROBO3/PRKCA/WNT3A/EPHB1/UNC5D/DPYSL5/ISL2/SPTBN4/NEXN/NTNG1/LMX1A/NFASC/APBB2/RYK/SHH/OTX2/RET/KIF5C/GBX2/GFRA2/GDNF/ROBO1/NRTN/DSCAM/PIK3CD/BSG/DAB1/PTPRM/BDNF/DSCAML1/GRB2/CDH4/NRXN1/UNC5C/EXT1/CSF1R/EPHA10/SLIT3/EFNA5/SEMA4B/FLRT2/PTCH1/SLIT1/DCC/SEMA4D/AGRN/SEMA4A/EPHB4/SRC/NTRK1/BMPR2/DOK6/PLXNA4/LHX1/CYFIP1/PLA2G10/SEMA4G/VSTM2L/GRB7/EFNA3/PTPRO/EFNA1/EPHB3,130
